,,Correlation Coefficient,Population,Sale Price,Density,Population Increase Rate,Sale Price Increase Rate
Nassau County,NY,0.030658216265157377,1358343.0,552286.0,4772.9789272,0.016181483983472893,1.0137021264183415
Orange County,FL,0.32210626730719005,1380645.0,243977.0,1529.7338906,0.5289213183775756,0.9051921379988911
Franklin County,OH,0.42870180208119485,1310300.0,179741.0,2461.0573061,0.22227425285769456,0.4405671189619383
Oakland County,MI,0.20084492048096853,1259201.0,247051.0,1451.6887933,0.052698415352397034,0.2864492478168724
Cuyahoga County,OH,0.5221143377053566,1243857.0,128886.0,2720.6861256,-0.1063982487989948,0.06727281760818801
Hennepin County,MN,0.35752531147685834,1259428.0,290106.0,2273.9607676,0.1267276509136454,0.7983597512971354
Travis County,TX,0.8934733049699034,1248743.0,347214.0,1259.0057679,0.5234295320681427,0.7465141546447758
Allegheny County,PA,-0.8051874599248431,1218452.0,158713.0,1668.844428,-0.0478247584693014,0.6938058952850527
Fairfax County,VA,0.6246853955602555,1150795.0,546827.0,2943.2126221,0.17972661551898766,1.3030112870619945
Contra Costa County,CA,0.1527672132764525,1150215.0,678042.0,1604.0222051,0.20718191454749635,1.0474446273005904
Salt Lake County,UT,0.8134142604010929,1152633.0,353925.0,1553.2742651,0.2792563522593333,0.8027964547677262
Mecklenburg County,NC,0.5721882575249749,1093901.0,242031.0,2089.3008886,0.561693920263599,0.4568508363780826
Wake County,NC,0.8393597433655084,1092305.0,290950.0,1308.4286468,0.7248727629893867,0.4945268316236638
Montgomery County,MD,0.46396367067844596,1052567.0,468131.0,2134.6971791,0.19953662655929835,1.0691878942180615
Fulton County,GA,0.13600006574045598,1050114.0,289592.0,1993.6122817,0.28660483465859665,0.48290464803084693
Pima County,AZ,0.31670809429698044,1039073.0,200019.0,113.09979314,0.2252944804302734,0.5651428839713293
Saint Louis County,MO,-0.6770051946528736,996945.0,184298.0,1964.7080157,-0.018926802194103788,0.4532365024168303
Fresno County,CA,0.3022003476068561,994400.0,254870.0,166.89888064,0.24100198680124998,1.1708615476342574
Honolulu County,HI,0.8581008161899651,980080.0,709508.0,1631.932667,0.11801001335798839,1.7941196161131654
Collin County,TX,0.8398146590530527,1005146.0,340538.0,1194.7875761,1.0138444215596312,0.7341032809341216
Westchester County,NY,0.29244683637441804,967612.0,627470.0,2247.2919335,0.04548946473893881,0.8071303701698351
Pinellas County,FL,0.37545409209322317,975280.0,208902.0,3562.6795555,0.05761535541940031,1.037770082426962
Milwaukee County,WI,-0.5885129073727028,948201.0,139539.0,3926.558904,0.008972417689879109,0.4002067110861363
Fairfield County,CT,-0.07949952831150549,943823.0,405095.0,1510.2017654,0.06723362778222541,0.4276425457531427
Shelby County,TN,-0.6195697777680608,935764.0,133728.0,1225.504021,0.041808661884568325,0.06141757282323994
Duval County,FL,0.3628627418261533,950181.0,185476.0,1245.4276983,0.21849320338548345,0.7448025436962616
Bergen County,NJ,0.3535997277817353,936692.0,491354.0,4023.8462066,0.05819381368761156,0.8346700719897243
DuPage County,IL,-0.1572098945287229,928589.0,285549.0,2833.4235729,0.024611490437875985,0.4661056544486489
Erie County,NY,-0.8661023200569188,919719.0,166104.0,882.03476071,-0.03130371587462083,0.7039628235245843
Gwinnett County,GA,0.19144904409933947,927781.0,231996.0,2154.8583776,0.5577668305394369,0.4299732491771348
Prince Georges County,MD,0.3108888926113591,909308.0,305716.0,1883.9844502,0.13223203268290434,0.921823530890895
Hartford County,CT,0.406676765198978,892697.0,219971.0,1214.6158128,0.03993518294160407,0.383822243471587
Kern County,CA,0.3731458796012117,896764.0,217522.0,110.27241954,0.35094900143566693,1.0508560868909338
